name,employee_id,salary,dob,join_date,year_of_service,weight,address,email
"Kapoor, PhD, Ananya",0796 351 0482,$29K,1998-09-06,2019-03-19,,150 pounds,"808 Redwood Dr, Indianapolis, IN 46201",ananya.kapoor.phd@gmail.com
Li Ying,0670-123-598,60K,1965-06-14,2006-07-14,15 years,68.1 kg,"909 Oakwood Blvd, Minneapolis, MN 55401",li.ying@yahoo.com
Mary Ann White,0569 318 702,"$22,000 ",1998-08-07,2011-08-03,10 years,190 lbs,"210 Pine St #4, Baltimore, MD 21201",mary.ann.white@gmail.com
Meera Choudhary-Smith,0287-604-159,45000,1979-12-01,2018-04-17,3 years,86.4 kg,"321 Spruce Ln, Tampa, FL 33601",meera.choudhary-smith@gmail.com
Mr. William Turner Jr.,0825 403 0716,$80K,1976-05-07,2015-06-05,,165 lbs,"432 Birch Rd Apt 15B, Cleveland, OH 44101",mr.william.turner.jr@gmail.com
"Nkosi, Fatima",0902-345-618,"40,000",1982-07-12,2014-03-03,7 years,74.9 kg,"543 Cedar Ave, Pittsburgh, PA 15201",fatima.nkosi@gmail.com
"Nkosi, Fatima S.",0874 951 820,"$18,000 ",1989-06-14,2016-11-09,5 years,205 lbs,"654 Elm Cir, Milwaukeee, WI 53201",fatima.s.nkosi@gmail.com
"Patel, Dr. Priya",618372549,"$1,000,000 ",1973-10-10,2019-04-17,,93.0 kg,"765 Sycamore Pl, Cincinnati, OH 45201",dr.priya.patel@yahoo.com
Professor Michael Williams,156489237,$500K,1974-02-28,2005-12-07,16 years,135 lbs,"876 Maple Blvd, Portland, OR 97201",professor.michael.williams@gmail.com
Professor Michael Williams,0873 216 0905,"$50,000 ",1995-07-31,2009-03-25,,61.3 kg,"987 Willow Rd, Kansas City, MO 64101",professor.michael.williams@gmail.com
"Reddy, Kavita",874215603,"$70,000 ",1987-09-10,2017-01-05,6 years,210 lbs,"108 Pine Dr #205, Charlotte, NC 28201",kavita.reddy@gmail.com
"Rodriguez, Diego",0467-215-0983,28K,1988-02-17,2011-10-15,,95.7 kg,"219 Redwood Ln, Salt Lake City, UT 84101",diego.rodriguez@gmail.com
"Rodriguez, Diego",0287-460-931,38K,1985-03-27,2010-09-17,,130 lbs,"320 Oak Ave, Raleigh, NC 27601",diego.rodriguez@gmail.com
"Rodriguez, Diego J.",0456 790 321,"$600,000 ",1988-11-18,2019-07-19,2 years,59.0 kg,"431 Cedar Blvd Apt 7, Nashville, TN 37201",diego.j.rodriguez@yahoo.com
Samantha Taylor-Smith,0743 856 291,"$300,000 ",1993-09-30,2016-12-09,5 years,220 lbs,"542 Birch St, Sacramento, CA 95801",samantha.taylor-smith@gmail.com
"Sara L. Miller, PhD",891 567 204,35000,1985-08-22,2008-11-15,13 years,99.4 kg,"653 Magnolia Rd, Apt 101, Austin, TX 78701",sara.l.miller.phd@gmail.com
"Sharma, Rahul",0761 502 834,"$55,000 ",1997-01-20,2008-02-28,,125 pounds,"764 Sycamore Cir, Phladelphia, PA 19101",rahul.sharma@yahoo.com
"Singh, Vikram",539 687 214,"$90,000 ",1992-03-15,2012-10-05,,56.8 kg,"875 Pine Pl, San Diego, CA 92101",vikram.singh@gmail.com
"Takahashi, Akira",198-543-706,"30,000",1995-03-04,2012-03-07,9 years,225 lbs,"986 Spruce Ln, Jacksonvill, FL 32201",akira.takahashi@gmail.com
"Takahashi, Akira",0143 297 865,"$42,000 ",1971-05-21,2014-10-30,,102.1 kg,"109 Elm Dr #302, Charleston, SC 29401",akira.takahashi@gmail.com
Tao Xu,0309-678-0124,"750,000",1981-11-24,2017-12-01,,120 lbs,"210 Maple Rd, Memphs, TN 38101",tao.xu@yahoo.com
"Verma, Mr. Rajiv",215 908 347,"$45,000 ",1990-02-25,2007-04-30,14 years,54.5 kg,"321 Oakwood Ave, Oklahma City, OK 73101",mr.rajiv.verma@gmail.com
Wei Chen,0876 234 501,"$75,000 ",1992-07-12,2013-09-21,8 years,230 lbs,"432 Birch Pl, Apt 6D, Richmond, VA 23201",wei.chen@yahoo.com
William Turner Jr.,0961 874 0250,"$850,000 ",1982-12-20,2006-02-08,,104.8 kg,"543 Sycamore Blvd, Newark, NJ 07001",william.turner.jr@gmail.com
"Williams, Jamal",0297-431-0568,55K,1978-05-04,2008-04-13,,115 lbs,"654 Willow Cir #9, Hartford, CT 06101",jamal.williams@yahoo.com
"Williams, Jamal",0845 603 0219,"$14,000 ",1989-02-14,2005-08-04,,52.2 kg,"765 Redwood Dr, Bufflo, NY 14201",jamal.williams@yahoo.com
"Xavier, Sara",0406-892-0715,68K,1974-10-23,2017-12-25,,235 lbs,"876 Cedar Ln, Rochestor, NY 14601",sara.xavier@gmail.com
Ying Zhao,0172-946-0580,600K,1979-05-28,2011-11-21,,107.5 kg,"987 Elm Ave Apt 205, Virginia Beach, VA 23401",ying.zhao@yahoo.com
