,First Name,Middle Name,Last Name,Title,EmployeeID,Salary,DOB,JoinDate,Year of Service,Weight,Address,Email,Changes
10,Diego,,Rodriguez,,04672150983,28000.0,1988-02-17,2011-10-15,,95.7 lbs,"219 Redwood Ln, Salt Lake City, UT 84101",diego.rodriguez@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
11,Diego,,Rodriguez,,0287-460-931,38000.0,1985-03-27,2010-09-17,,130.0 lbs,"320 Oak Ave, Raleigh, NC 27601",diego.rodriguez@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
12,Diego,J.,Rodriguez,,0456-790-321,600000.0,1988-11-18,2019-07-19,2 years,59.0 lbs,"431 Cedar Blvd Apt 7, Nashville, TN 37201",diego.j.rodriguez@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
13,Dr.,Priya,Patel,,6183-725-49,1000000.0,1973-10-10,2019-04-17,,93.0 lbs,"765 Sycamore Pl, Cincinnati, OH 45201",dr.priya.patel@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
14,Esq.,,Chris Davis,,1052-973-84,15000.0,1972-07-19,2009-09-28,12 years,65.7 lbs,"444 Poplar Ln, Unit 12, Dallas, TX 75201",chris.davis.esq@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
15,Fatima,,Nkosi,,0902-345-618,40000.0,1982-07-12,2014-03-03,7 years,74.9 lbs,"543 Cedar Ave, Pittsburgh, PA 15201",fatima.nkosi@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
16,Fatima,S.,Nkosi,,0874-951-820,18000.0,1989-06-14,2016-09-11,5 years,205.0 lbs,"654 Elm Cir, Milwaukeee, WI 53201",fatima.s.nkosi@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
17,Hui,,Yang,,0349-761-802,120000.0,1986-11-18,2016-02-12,6 years,70.2 lbs,"101 Oakwood Dr Apt305, Las Vegas, NV 89101",hui.yang@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
18,Jamal,,Williams,,0238-617-495,650000.0,1970-03-09,2013-12-07,,88.5 lbs,"303 Maple Rd, Orlando, FL 32801",jamal.williams@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
19,Jamal,,Williams,,02974310568,55000.0,1978-04-05,2008-04-13,,115.0 lbs,"654 Willow Cir Apt9, Hartford, CT 06101",jamal.williams@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
20,Jamal,,Williams,,08456030219,14000.0,1989-02-14,2005-04-08,,52.2 lbs,"765 Redwood Dr, Bufflo, NY 14201",jamal.williams@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
21,Jane,,Smith,,0850-694-271,19000.0,1994-01-07,2019-07-19,,140.0 lbs,"404 Willow Ln Apt8, San Diego, CA 92101",jane.smith@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
22,Jane,,Smith,,8506-942-71,19000.0,1994-01-07,2019-07-19,,140.0 lbs,"404 Willow Ln Apt8, San Diego, CA 92101",jane.smith@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
23,Javier,,Garcia,,0952-864-301,120000.0,1986-09-22,2013-03-11,,77.1 lbs,"888 Magnolia Blvd, Philadelpia, PA 19101",javier.garcia@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
24,Javier,,Garcia,,03147280569,95000.0,1968-09-20,2018-06-09,,155.0 lbs,"999 Cedar St, Detroit, MI 48201",javier.garcia202@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
25,John,,Doe,,0580-796-321,200000.0,1996-09-22,2010-08-18,11 years,175.0 lbs,"606 Cedar Pl, Apt 502, New Orleans, LA 70112",john.doe@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
26,Kavita,,Reddy,,8742-156-03,70000.0,1987-09-10,2017-01-05,6 years,210.0 lbs,"108 Pine Dr Apt205, Charlotte, NC 28201",kavita.reddy@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
27,Li,,Ying,,0670-123-598,60000.0,1965-06-14,2006-07-14,15 years,68.1 lbs,"909 Oakwood Blvd, Minneapolis, MN 55401",li.ying@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
28,Maria,,Da Silva,,0614-208-357,250000.0,1996-06-15,2006-08-16,,185.0 lbs,"555 Sycamore Ave Apt 201, Washington, DC 20001",maria.da.silva@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
29,Mary,Ann,White,,0569-318-702,22000.0,1998-08-07,2011-08-03,10 years,190.0 lbs,"210 Pine St Apt4, Baltimore, MD 21201",mary.ann.white@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
30,Meera,,Choudhary-Smith,,05023490186,42000.0,1971-08-16,2012-12-14,,145.0 lbs,"333 Fir Pl, Miami, FL 33101",meera.choudhary-smith@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
31,Meera,,Choudhary-Smith,,0287-604-159,45000.0,1979-01-12,2018-04-17,3 years,86.4 lbs,"321 Spruce Ln, Tampa, FL 33601",meera.choudhary-smith@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
32,Mei,,Chen,,00482679013,25000.0,1990-05-15,2005-08-23,16 years,160.0 lbs,"111 Willow Cir Apt7, Houston, TX 77002",mei.chen@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
33,Mei,,Chen,,09835670124,33000.0,1977-09-18,2014-12-22,,72.6 lbs,"222 Spruce Ct, Atlanta, GA 30301",mei.chen@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
34,Michael,,Williams,Professor,1564-892-37,500000.0,1974-02-28,2005-07-12,16 years,135.0 lbs,"876 Maple Blvd, Portland, OR 97201",professor.michael.williams@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
35,Michael,,Williams,Professor,08732160905,50000.0,1995-07-31,2009-03-25,,61.3 lbs,"987 Willow Rd, Kansas City, MO 64101",professor.michael.williams@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
36,Mr.,Rajiv,Verma,,2159-083-47,45000.0,1990-02-25,2007-04-30,14 years,54.5 lbs,"321 Oakwood Ave, Oklahma City, OK 73101",mr.rajiv.verma@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
37,PhD,,Sara L. Miller,,8915-672-04,35000.0,1985-08-22,2008-11-15,13 years,99.4 lbs,"653 Magnolia Rd, Apt 101, Austin, TX 78701",sara.l.miller.phd@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
38,Professor,Arjun,Desai,,0736-150-824,850000.0,1980-11-30,2016-09-21,,84.0 lbs,"666 Ash St, Phoniex, AZ 85001",arjun.desai@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
39,Rahul,,Sharma,,0761-502-834,55000.0,1997-01-20,2008-02-28,,125.0 lbs,"764 Sycamore Cir, Phladelphia, PA 19101",rahul.sharma@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
40,Robert,,Johnson,Dr.,0532-941-687,35000.0,1999-03-08,2018-10-09,,170.0 lbs,"777 Redwood Rd, Denver, CO 80202",dr.robert.johnson@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
41,Samantha,,Taylor-Smith,,0743-856-291,300000.0,1993-09-30,2016-12-09,5 years,220.0 lbs,"542 Birch St, Sacramento, CA 95801",samantha.taylor-smith@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
42,Sara,,Xavier,,04068920715,68000.0,1974-10-23,2017-12-25,,235.0 lbs,"876 Cedar Ln, Rochestor, NY 14601",sara.xavier@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
43,Siddharth,,Iyer,Esq.,0419-587-306,175000.0,1991-03-27,2019-02-26,3 years,195.0 lbs,"202 Birch Ave, San Antonio, TX 78201",siddharth.iyer.esq@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
44,Tao,,Xu,,03096780124,750000.0,1981-11-24,2017-01-12,,120.0 lbs,"210 Maple Rd, Memphs, TN 38101",tao.xu@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
45,Vikram,,Singh,,5396-872-14,90000.0,1992-03-15,2012-05-10,,56.8 lbs,"875 Pine Pl, San Diego, CA 92101",vikram.singh@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
46,Wei,,Chen,,0876-234-501,75000.0,1992-12-07,2013-09-21,8 years,230.0 lbs,"432 Birch Pl, Apt 6D, Richmond, VA 23201",wei.chen@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
47,William,Turner,Jr.,Mr.,08254030716,80000.0,1976-07-05,2015-06-05,,165.0 lbs,"432 Birch Rd Apt 15B, Cleveland, OH 44101",mr.william.turner.jr@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
48,William,Turner,Jr.,,09618740250,850000.0,1982-12-20,2006-08-02,,104.8 lbs,"543 Sycamore Blvd, Newark, NJ 07001",william.turner.jr@gmail.com,"BadWeight, BadEmail, BadID, BadAddress"
49,Ying,,Zhao,,01729460580,600000.0,1979-05-28,2011-11-21,,107.5 lbs,"987 Elm Ave Apt 205, Virginia Beach, VA 23401",ying.zhao@yahoo.com,"BadWeight, BadEmail, BadID, BadAddress"
